StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,PQ1,PQ2,PQ3,PQ4,PQ5,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q18,Q14,Q16,Q17,Q52,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q23,Q24,Q25,Q26#1_1,Q26#1_2,Q26#1_3,Q26#1_4,Q26#1_5,Q26#1_6,Q26#1_7,Q27,Q28,Q29,Q30,Q31,Q32,Q33#1_1,Q33#2_1,Q34#1_1,Q34#2_1,Q35#1_1,Q35#2_1,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q38_1,Q39_1,Q40_1,Q54,Q54_1,Q54_2,Q54_3,Q53_1,Q55_1,Q56_1,Q56_2,Q56_4,Q56_10,Q56_6,Q56_12,Q56_8,Q56_11,Q56_13,Q53,id,RandomID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I agree that I have had the opportunity to ask any questions prior to the beginning of the survey by contacting one of the teaching staff for PSYC121, e.g. t.beesley@lancs.ac.uk, or j.towse@lancs.ac.uk","I understand that I have the right to withdraw from this survey, without having to provide a reason, with no adverse consequences to myself.",I understand that the results of this survey may be used in future teaching reports. I understand that the redacted and anonymised data resulting from my participation may be made openly available to other teachers for the purpose of learning about analysis,I understand that my participation in this survey is confidential and no information that can be used to identify myself will be published,I consent to taking part in this survey,What is your age?,In which month were you born?,What is your gender identity?,How tall are you in centimetres?,"Within your family, were you:","Where is your non term-time address (i.e., where is ""home"" for you)?","Within the UK, where do you live?",What is your highest maths qualification?,How many different countries have you visited in the world?,Thinking about your maths skills in comparison to the other students taking this class would you say your own skills are likely to be:,Thinking about your conversational and social skills in comparison to the other students taking this class would you say they are likely to be:,"Without looking it up, what do you estimate is the median annual salary in the UK?","This is a picture of a cow, called Penelope, next to a man (who weighs 75 kg, or 165lb). How much d",I am interested in pursuing a Psychology module in parabanjology,"Imagine you are on a game-show and you win £300. The presenter gives you have a choice: receive an additional £100 for sure, or take a gamble offering a 50% chance to gain £200 and a 50% chance to gain nothing. Which would you choose?","Imagine you are on a different game-show and you win £500. Here you are given a choice between either losing £100 from your winnings for sure, or taking a gamble offering a 50% chance to lose nothing and a 50% chance to lose £200. Which would you choose?","How much do you think human activity contributes to climate change, as a percentage of overall climate change? Please enter a value between 0 (humans do not contribute to climate change at all) and 100 (human contribute entirely to climate change).","The following questions are from the Generalised Anxiety Disorder questionnaire. Please understand that your data are stored anonymously and that means we cannot link any of your responses to you personally. Please also note that scoring highly on this questionnaire does not necessarily mean you have an anxiety disorder. You do not have to answer these question if you do not want to. If you have serious concerns about anxiety or your mental health in general, student based services (The Base) can put you in touch with the appropriate support systems. 
Over the last 2 weeks, how often have you been bothered
by any of the following problems? - Feeling nervous, anxious or on edge?","The following questions are from the Generalised Anxiety Disorder questionnaire. Please understand that your data are stored anonymously and that means we cannot link any of your responses to you personally. Please also note that scoring highly on this questionnaire does not necessarily mean you have an anxiety disorder. You do not have to answer these question if you do not want to. If you have serious concerns about anxiety or your mental health in general, student based services (The Base) can put you in touch with the appropriate support systems. 
Over the last 2 weeks, how often have you been bothered
by any of the following problems? - Not being able to stop or control worrying?","The following questions are from the Generalised Anxiety Disorder questionnaire. Please understand that your data are stored anonymously and that means we cannot link any of your responses to you personally. Please also note that scoring highly on this questionnaire does not necessarily mean you have an anxiety disorder. You do not have to answer these question if you do not want to. If you have serious concerns about anxiety or your mental health in general, student based services (The Base) can put you in touch with the appropriate support systems. 
Over the last 2 weeks, how often have you been bothered
by any of the following problems? - Worrying too much about different things?","The following questions are from the Generalised Anxiety Disorder questionnaire. Please understand that your data are stored anonymously and that means we cannot link any of your responses to you personally. Please also note that scoring highly on this questionnaire does not necessarily mean you have an anxiety disorder. You do not have to answer these question if you do not want to. If you have serious concerns about anxiety or your mental health in general, student based services (The Base) can put you in touch with the appropriate support systems. 
Over the last 2 weeks, how often have you been bothered
by any of the following problems? - Trouble relaxing?","The following questions are from the Generalised Anxiety Disorder questionnaire. Please understand that your data are stored anonymously and that means we cannot link any of your responses to you personally. Please also note that scoring highly on this questionnaire does not necessarily mean you have an anxiety disorder. You do not have to answer these question if you do not want to. If you have serious concerns about anxiety or your mental health in general, student based services (The Base) can put you in touch with the appropriate support systems. 
Over the last 2 weeks, how often have you been bothered
by any of the following problems? - Being so restless that it is hard to sit still?","The following questions are from the Generalised Anxiety Disorder questionnaire. Please understand that your data are stored anonymously and that means we cannot link any of your responses to you personally. Please also note that scoring highly on this questionnaire does not necessarily mean you have an anxiety disorder. You do not have to answer these question if you do not want to. If you have serious concerns about anxiety or your mental health in general, student based services (The Base) can put you in touch with the appropriate support systems. 
Over the last 2 weeks, how often have you been bothered
by any of the following problems? - Becoming easily annoyed or irritable?","The following questions are from the Generalised Anxiety Disorder questionnaire. Please understand that your data are stored anonymously and that means we cannot link any of your responses to you personally. Please also note that scoring highly on this questionnaire does not necessarily mean you have an anxiety disorder. You do not have to answer these question if you do not want to. If you have serious concerns about anxiety or your mental health in general, student based services (The Base) can put you in touch with the appropriate support systems. 
Over the last 2 weeks, how often have you been bothered
by any of the following problems? - Feeling afraid, as if something awful might happen",Control:,Compatible:,Incompatible:,"During an average week, how many days would you use the following social media platforms (at leas... - How many days on average? - Facebook","During an average week, how many days would you use the following social media platforms (at leas... - How many days on average? - Instagram","During an average week, how many days would you use the following social media platforms (at leas... - How many days on average? - Twitter","During an average week, how many days would you use the following social media platforms (at leas... - How many days on average? - TikTok","During an average week, how many days would you use the following social media platforms (at leas... - How many days on average? - Snapchat","During an average week, how many days would you use the following social media platforms (at leas... - How many days on average? - YouTube","During an average week, how many days would you use the following social media platforms (at leas... - How many days on average? - Reddit",How many friends do you have on Facebook?,How many followers do you have on Instagram?,How many people do you follow on Instagram?,How many followers do you have on Twitter?,How many people do you follow on Twitter?,"What type of mobile phone do you have? If you have more than one phone, choose the one you use the most.","Think back over the past 7 days. Without trying to find out from your phone, try to estimate, on... - Hours - Estimated screen time","Think back over the past 7 days. Without trying to find out from your phone, try to estimate, on... - Minutes - Estimated screen time","Let's try and find out how much time you actually use your phone! For your iPhone, all you have t... - Hours - Average daily screen time","Let's try and find out how much time you actually use your phone! For your iPhone, all you have t... - Minutes - Average daily screen time",Let's try and find out how much time you actually use your phone! Android phones are all a little... - Hours - Average daily screen time,Let's try and find out how much time you actually use your phone! Android phones are all a little... - Minutes - Average daily screen time,MFDA scale. Please indicate with the radio buttons how you feel about these statements on a scale from 1 (strongly disagree) to 9 (strongly agree). - Everything we need to know about living a moral life God has revealed to us.,MFDA scale. Please indicate with the radio buttons how you feel about these statements on a scale from 1 (strongly disagree) to 9 (strongly agree). - What is morally good and right is what God says is good and right.,MFDA scale. Please indicate with the radio buttons how you feel about these statements on a scale from 1 (strongly disagree) to 9 (strongly agree). - If you want to know how to live a moral life you should look to God.,MFDA scale. Please indicate with the radio buttons how you feel about these statements on a scale from 1 (strongly disagree) to 9 (strongly agree). - Acts that are immoral are immoral because God forbids them.,MFDA scale. Please indicate with the radio buttons how you feel about these statements on a scale from 1 (strongly disagree) to 9 (strongly agree). - It is possible to live a righteous life without knowledge of God's laws.,"Your Professor at University has paired you with another classmate to work with on an assignment. The pairs were formed randomly, and although the Professor did not record who is working together, she states emphatically that she does not want anyone swapping partners. However, after class a classmate asks if you would be willing to switch partners. The classmate was assigned to work with a good friend of yours, and your assigned partner is a good friend of the classmate. If you disobey your Professor and switch partners, everyone will have a much more enjoyable time working on the project. Plus, everyone will be working with someone with whom they collaborate well, so everyone’s grades would probably end up being higher as well. The Professor would never find out that you switched partners, but you would be directly defying the Professor’s orders. In this situation, should you obey the Professor and refuse to switch partners, or disobey the Professor and switch partners? - Your feeling","You are the coach of a children’s soccer team. The morning of the big game, you realize that you forgot to reserve a field, which is your responsibility. You drive out to the local sports complex and see that none of the fields are being used. The security guard says that you cannot use a field unless you have reserved one ahead of time. You could tell the guard the truth, in which case the children will not get to play their game and will be very disappointed, or you could lie and tell the guard that you reserved the field a week ago, in which case the children will get to play their game. In this situation, should you tell the truth, or lie about having reserved the field? - Your feeling","You have a friend that suffers a great deal from poor self-esteem. She is particularly sensitive about her weight and her physical appearance. Recently, she cut her hair really short and you believe that it does not help her appearance at all. She asks you what you think of her new hairdo. In this situation, should you tell your friend the truth, or lie to spare her feelings? - Your feeling",Please select strongly agree to show that you are paying attention to this question,"Out of every 100 people in UK, about how many do you think: - Are Christian?","Out of every 100 people in UK, about how many do you think: - Are Muslim?","Out of every 100 people in UK, about how many do you think: - are over 65 years old?",What percentage of the UK population do you think are immigrants to this country (i.e. not born in UK? - Percentage of population who are immigrants,"In your opinion, what percentage of girls under 16 years of age in UK get pregnant each year? - Percentage of 15-19 year-olds who give birth","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Avoiding one long-distance flight (lasting six hours or more)","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Buying energy only from renewable sources (e.g. wind power, hydro- electric)","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Eating a plant-based diet","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Hang-drying their clothes, instead of using an electric or gas dryer)","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Having one fewer child","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Not having a car","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Recycling as much as possible","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Replacing a typical car with an electric car or hybrid","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Replacing traditional incandescent lightbulbs with low energy compact fluorescent (CFL) or LED lightbulbs","If you had a choice, would you want to purchase items:",id,RandomID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID36_2""}","{""ImportId"":""QID36_3""}","{""ImportId"":""QID36_4""}","{""ImportId"":""QID36_5""}","{""ImportId"":""QID36_6""}","{""ImportId"":""QID36_8""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26#1_1""}","{""ImportId"":""QID26#1_2""}","{""ImportId"":""QID26#1_3""}","{""ImportId"":""QID26#1_4""}","{""ImportId"":""QID26#1_5""}","{""ImportId"":""QID26#1_6""}","{""ImportId"":""QID26#1_7""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33#1_1""}","{""ImportId"":""QID33#2_1""}","{""ImportId"":""QID34#1_1""}","{""ImportId"":""QID34#2_1""}","{""ImportId"":""QID35#1_1""}","{""ImportId"":""QID35#2_1""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID39_2""}","{""ImportId"":""QID39_3""}","{""ImportId"":""QID39_4""}","{""ImportId"":""QID39_5""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID65""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID61_2""}","{""ImportId"":""QID61_3""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID63_2""}","{""ImportId"":""QID63_3""}","{""ImportId"":""QID63_4""}","{""ImportId"":""QID63_5""}","{""ImportId"":""QID63_6""}","{""ImportId"":""QID63_7""}","{""ImportId"":""QID63_8""}","{""ImportId"":""QID63_9""}","{""ImportId"":""QID64""}","{""ImportId"":""id""}","{""ImportId"":""RandomID""}"
2023-10-05 09:12:02,2023-10-05 09:27:53,0,148.88.245.122,100,951,1,2023-10-05 09:27:54,R_piXoT6bWEGUSQ0x,,,,,54.0479,-2.7977,anonymous,EN,1,1,1,1,1,18,8,2,161,4,1,2,2,8,2,3,30000,400,2,1,2,90,2,1,2,1,2,3,1,3,3,4,1,5,1,8,8,2,1,,125,116,,,1,8,3,8,2,,,1,3,1,1,12,8,8,5,4,30,20,25,20,9,5,1,6,7,8,4,9,2,3,2,,702372
2023-10-05 10:16:48,2023-10-05 10:35:22,0,148.88.245.156,100,1113,1,2023-10-05 10:35:23,R_2fvWqOnlIZlD2Ob,,,,,54.0479,-2.7977,anonymous,EN,1,1,1,1,1,19,1,2,175,1,1,5,5,18,4,3,35000,195,1,1,1,90,1,1,1,1,1,1,1,3,4,6,1,8,5,8,8,7,1,,521,562,0,5,1,6,1,7,1,,,1,2,2,2,12,0,0,5,4,34,10,29,25,1,5,1,6,7,8,4,3,2,9,2,,881062
2023-10-08 14:07:05,2023-10-08 14:21:00,0,148.88.245.68,100,834,1,2023-10-08 14:21:01,R_Xw6SOrXhExHqNmF,,,,,54.0479,-2.7977,anonymous,EN,1,1,1,1,1,18,3,4,168,3,1,5,2,9,4,5,32000,327,1,2,1,64,3,4,3,4,1,4,2,5.29,4.81,6.53,1,8,5,1,2,1,1,,652,751,568,709,1,8,3,1,1,,,1,1,1,1,12,2,3,8,4,30,19,40,9,3,7,3,6,5,1,2,8,9,4,2,,292403
2023-10-08 14:25:25,2023-10-08 14:39:38,0,148.88.245.248,100,852,1,2023-10-08 14:39:38,R_1oFlqTjgIETJUxM,,,,,54.0479,-2.7977,anonymous,EN,1,1,1,1,1,19,5,2,165,1,3,,,7,2,3,5000,210,4,1,2,65,1,1,1,1,1,1,1,3,2,3,1,8,1,8,1,5,1,,200,500,,,1,13,3,9,3,,,3,1,10,1,5,2,,2,4,40,24,53,39,9,4,2,5,3,6,1,8,7,9,2,,139154
2023-10-08 15:19:17,2023-10-08 15:30:52,0,148.88.245.209,100,694,1,2023-10-08 15:30:53,R_30kIa87CGh71t1N,,,,,54.0479,-2.7977,anonymous,EN,1,1,1,1,1,18,5,2,165,1,1,2,2,4,3,4,25000,250,2,1,2,85,4,4,4,3,2,2,2,7,5,9,8,8,4,8,8,2,6,212,241,489,11,30,2,7,3,,,7,4,2,2,2,2,9,3,4,9,1,39,29,60,40,18,,,,,,,,,,2,,636503
2023-10-09 06:34:39,2023-10-09 06:50:29,0,148.88.245.233,100,949,1,2023-10-09 06:50:30,R_2SogkkOz3P70Mul,,,,,54.0479,-2.7977,anonymous,EN,1,1,1,1,1,18,12,2,168,2,1,3,5,12,3,3,35000,250,2,1,2,65,4,3,3,3,1,2,1,4.8,4.36,6.6,3,8,4,8,8,3,1,13,911,271,5,17,2,6,2,,,5,2,4,4,4,4,4,6,7,8,1,60,39,18,29,10,7,1,3,6,9,8,2,5,4,2,,241377
2023-10-09 06:32:27,2023-10-09 06:50:51,0,148.88.245.254,100,1103,1,2023-10-09 06:50:52,R_2s5ymlTxVo1AvG9,,,,,54.0479,-2.7977,anonymous,EN,1,1,1,1,1,18,10,2,166,1,1,1,2,10,2,2,30000,700,2,1,1,90,2,2,3,2,2,2,3,5.17,3.74,4.53,7,8,1,8,8,2,1,31,264,388,,,1,6,2,6,3,,,1,1,1,1,1,7,2,8,4,18,12,18,10,4,5,1,7,8,4,3,2,9,6,2,,601623
2023-10-09 06:32:24,2023-10-09 06:51:06,0,148.88.245.224,100,1122,1,2023-10-09 06:51:06,R_0qAEU8J4pw075Xr,,,,,54.0479,-2.7977,anonymous,EN,1,1,1,1,1,18,3,2,168,2,1,5,5,12,3,3,35000,220,3,1,2,90,4,4,4,2,1,2,4,5,3.3,6.6,2,5,1,8,8,1,1,0,196,250,,,1,7,3,7,3,,,3,2,3,3,5,8,7,9,3,61,41,72,55,24,7,1,3,9,4,2,5,6,8,2,,199977
